,track_name,artist,duration,popularity,release_date,mp3,track_id,artist_id
86,Heart Break,Lady Antebellum,188293,58,2017-06-09,,3YZ5TNGA10oTLaADq4zuNV,32WkQRZEVKSzVAAYqukAEA
87,American Honey,Lady Antebellum,224866,56,2010-01-01,,4xInIiKipU1mtUogJ3ZdYr,32WkQRZEVKSzVAAYqukAEA
88,Downtown,Lady Antebellum,195866,55,2013-01-01,,4kY7rYtE4OQkJNq22OIYRI,32WkQRZEVKSzVAAYqukAEA
89,Hurt,Lady Antebellum,226906,55,2017-06-09,,5LN736t27w3aH0lSAMX4nD,32WkQRZEVKSzVAAYqukAEA
90,Ex's & Oh's,Elle King,202173,71,2015-02-13,https://p.scdn.co/mp3-preview/3aa3f3fd31bbc1d252bb916c140bbaa5baed45f6?cid=80aa7a928c4541428fab1590b72d13b5,70eDxAyAraNTiD6lx2ZEnH,3bhu7P5PfngueRHiB9hjcx
91,America's Sweetheart,Elle King,245546,56,2015-02-13,https://p.scdn.co/mp3-preview/5b7f4d5d46690d091246fbcf66d56f119e103fb4?cid=80aa7a928c4541428fab1590b72d13b5,2NcstvY8H9PVQ0DMNGHckh,3bhu7P5PfngueRHiB9hjcx
92,Where the Devil Don't Go,Elle King,181493,53,2015-02-13,https://p.scdn.co/mp3-preview/39dddb761c3da95c3b598f7a9d5b28d40675fca7?cid=80aa7a928c4541428fab1590b72d13b5,0mHSePRiFnTy7qYPsIeIJ8,3bhu7P5PfngueRHiB9hjcx
93,Wild Love,Elle King,195081,50,2017-03-06,https://p.scdn.co/mp3-preview/27b9adc0bc4ffb6acb3f9f6c861e28b7e6e5977b?cid=80aa7a928c4541428fab1590b72d13b5,5pq8Lj5OODR0N6pHCifMy8,3bhu7P5PfngueRHiB9hjcx
94,Shame,Elle King,159267,45,2018-10-19,https://p.scdn.co/mp3-preview/a11a599bae15cece1cb22ebef41d449ae9930e30?cid=80aa7a928c4541428fab1590b72d13b5,6pvVzR8VcSQol4EbaUrN0e,3bhu7P5PfngueRHiB9hjcx
95,"Good Girls (from the ""Ghostbusters"" Original Motion Picture Soundtrack)",Elle King,177066,47,2016-06-03,https://p.scdn.co/mp3-preview/9670ca02a4897b1e0c72bb1fe4b89a43df1c4fe8?cid=80aa7a928c4541428fab1590b72d13b5,2K7QDWSJotQ4qFlnDtRqQJ,3bhu7P5PfngueRHiB9hjcx
96,Holdin' On To You - from the Dumplin' Original Motion Picture Soundtrack,Dolly Parton,207600,47,2018-11-30,https://p.scdn.co/mp3-preview/4a53c1fe3e0763e3c166aae35196fc8c7b5c25c9?cid=80aa7a928c4541428fab1590b72d13b5,3jyVsxt4UNU4PEZR0klPAK,32vWCbZh0xZ4o9gkz4PsEU
97,I Told You I Was Mean,Elle King,270586,46,2015-02-13,https://p.scdn.co/mp3-preview/eda5106491efb4f0737d4cd266eda30c2872bbdc?cid=80aa7a928c4541428fab1590b72d13b5,2eqUSPGdZoul6aAXmXbUkE,3bhu7P5PfngueRHiB9hjcx
98,Under the Influence,Elle King,197720,46,2015-02-13,https://p.scdn.co/mp3-preview/fa648fd577cded93d3a00a347b8fc14e47bfd11f?cid=80aa7a928c4541428fab1590b72d13b5,5rFwX4Xi0WmdtM6qlaPUWy,3bhu7P5PfngueRHiB9hjcx
99,"My Neck, My Back - Live",Elle King,160653,46,2012-06-12,https://p.scdn.co/mp3-preview/1a6f3e29479d4105c7cb8c5255d921087f627a0d?cid=80aa7a928c4541428fab1590b72d13b5,5sgNtgSoWoglhcKPOiIY6j,3bhu7P5PfngueRHiB9hjcx
100,Chemicals,Gregory Alan Isakov,199906,58,2018-10-05,https://p.scdn.co/mp3-preview/736d0e7f56bd0f7849144ca1ae15f33e44a9bc23?cid=80aa7a928c4541428fab1590b72d13b5,6Eyt039etvBOx2V612yu4y,5sXaGoRLSpd7VeyZrLkKwt
