,track_name,artist,duration,popularity,release_date,mp3,track_id,artist_id
92,Glory Days,Andra Day,247253,41,6/16/17,,1fWyRKQdqvhXe8cM7iNdVW,1c4rxrxy8eDLvMVL1DTiBe
93,Cheers to the Fall,Andra Day,226746,41,8/28/15,https://p.scdn.co/mp3-preview/effb8d960cb87ef3a724993736ef6175a0161581?cid=80aa7a928c4541428fab1590b72d13b5,3jUDmvxw0ZyGAUmyqRikMj,1c4rxrxy8eDLvMVL1DTiBe
94,Stand up for Something (feat. Common),Andra Day,224333,40,8/25/17,https://p.scdn.co/mp3-preview/2b89798712ef77d6326d69b73a210ecaffad00a0?cid=80aa7a928c4541428fab1590b72d13b5,0Vf1E9i3cK9O6KZyPynDHg,1c4rxrxy8eDLvMVL1DTiBe
95,When You Believe,Lexi Walker,265106,41,10/27/17,https://p.scdn.co/mp3-preview/2ccb6db6c99114617578b58e078f43bc0b586e62?cid=80aa7a928c4541428fab1590b72d13b5,13zxKpYWumKjO0jVVJP4F5,6C2Jmyv6fdiRAbcadxmNtS
96,Bless the Broken Road,GENTRI,233901,33,9/23/17,https://p.scdn.co/mp3-preview/749864c88f7977ddd08a97adbd0ef2c477b62fde?cid=80aa7a928c4541428fab1590b72d13b5,32AhrNMPiNH2Fwep4C7Mp1,4sk2zZdhVRMhb1BEtcxUKf
97,Blackbird,GENTRI,195823,32,3/17/18,https://p.scdn.co/mp3-preview/4070b84ae98547a9dba14ab55eaf19b18eeb9df8?cid=80aa7a928c4541428fab1590b72d13b5,7jpPe9fE33Oj2ovKalkQrh,4sk2zZdhVRMhb1BEtcxUKf
98,Let It Be,GENTRI,227441,30,5/17/17,https://p.scdn.co/mp3-preview/06b98eb14387d102a1a5f7dbfbf23c240628f1d0?cid=80aa7a928c4541428fab1590b72d13b5,01A8xOxWRjIlp7dOKipVlv,4sk2zZdhVRMhb1BEtcxUKf
99,A Million Dreams,GENTRI,267293,29,2/23/18,https://p.scdn.co/mp3-preview/ab431c0af0033080b52c94a58c5ef67b180a6f06?cid=80aa7a928c4541428fab1590b72d13b5,1VoJr32XjQDkKz6gJruGUK,4sk2zZdhVRMhb1BEtcxUKf
100,On the Outside,GENTRI,170786,27,11/16/18,https://p.scdn.co/mp3-preview/831694eb3baaa52fc124cd588d42e7954a0cc121?cid=80aa7a928c4541428fab1590b72d13b5,5GB4IrW36PYOdBUhLaX6vW,4sk2zZdhVRMhb1BEtcxUKf
101,"Be Still, My Soul",GENTRI,328434,25,1/12/18,https://p.scdn.co/mp3-preview/49a7925500fc706d1bbd3e58d5255e4ffcbc16fe?cid=80aa7a928c4541428fab1590b72d13b5,3QO18Lt41mH0EZEgCC2xqr,4sk2zZdhVRMhb1BEtcxUKf
102,Don't Let Go,GENTRI,331946,25,3/31/15,https://p.scdn.co/mp3-preview/4f28017bcc914f82ccead0b0a7f4b7da98f35a8c?cid=80aa7a928c4541428fab1590b72d13b5,4zeh9ewjWi9OfiKlvZzCdo,4sk2zZdhVRMhb1BEtcxUKf
103,Dare,GENTRI,227906,24,3/31/15,https://p.scdn.co/mp3-preview/473209ebfe75837de9ed785a257a5270016005a1?cid=80aa7a928c4541428fab1590b72d13b5,16KibslNt1NI3Cu3nmp0AX,4sk2zZdhVRMhb1BEtcxUKf
104,Redeemer of Israel,GENTRI,210710,24,1/12/18,https://p.scdn.co/mp3-preview/bca27419edae6592cc7730d83f0c1a7bb3019eee?cid=80aa7a928c4541428fab1590b72d13b5,01j2QbJT9Ve7GDdDbwEqmg,4sk2zZdhVRMhb1BEtcxUKf
105,Powerglide (feat. Juicy J) - From SR3MM,Rae Sremmurd,332300,77,5/4/18,,1BuZAIO8WZpavWVbbq3Lci,7iZtZyCzp3LItcw1wtPI3D
106,Guatemala - From Swaecation,Rae Sremmurd,256341,75,5/4/18,,0TCnOEVeLQMXOUrpPlM7uY,7iZtZyCzp3LItcw1wtPI3D
107,CLOSE (feat. Travis Scott) - From SR3MM,Rae Sremmurd,193510,67,5/4/18,,1oUudyBYVGMIC8JXeIsFzq,7iZtZyCzp3LItcw1wtPI3D
108,Perplexing Pegasus - From SR3MM,Rae Sremmurd,204787,66,5/4/18,,1ung2kajpw24AaHjBtPY3j,7iZtZyCzp3LItcw1wtPI3D
109,Bedtime Stories (feat. The Weeknd) - From SR3MM,Rae Sremmurd,292727,63,5/4/18,,6nI74KsH94IN0J2vp5shdT,7iZtZyCzp3LItcw1wtPI3D
110,T'd Up - From SR3MM,Rae Sremmurd,232862,60,5/4/18,,7bddNsGZem9W4j4rzZBIXj,7iZtZyCzp3LItcw1wtPI3D
